TEAM,ELITE SOS,YEAR
Lamar,13.0,2006
Lehigh,11.5,2006
Liberty,16.1,2006
Lipscomb,5.7,2006
Long Beach St.,18.2,2006
Longwood,10.9,2006
Louisiana Lafayette,25.2,2006
Louisiana Monroe,21.1,2006
Louisiana Tech,27.1,2006
Louisville,31.3,2006
Loyola Chicago,20.7,2006
Loyola MD,19.3,2006
Loyola Marymount,28.1,2006
Maine,12.1,2006
Manhattan,23.2,2006
Marist,20.3,2006
Marquette,35.4,2006
Marshall,18.1,2006
Maryland,34.2,2006
Maryland Eastern Shore,5.6,2006
Massachusetts,28.7,2006
McNeese St.,17.4,2006
Memphis,27.9,2006
Mercer,5.0,2006
Miami FL,36.4,2006
Miami OH,25.3,2006
Michigan,34.1,2006
Michigan St.,35.5,2006
Middle Tennessee,20.0,2006
Milwaukee,24.2,2006
Minnesota,32.6,2006
Mississippi,29.1,2006
Mississippi St.,30.8,2006
Mississippi Valley St.,7.7,2006
Missouri,30.5,2006
Missouri St.,31.3,2006
Monmouth,16.4,2006
Montana,20.9,2006
Montana St.,15.9,2006
Morehead St.,14.8,2006
Morgan St.,8.6,2006
Mount St. Mary's,12.7,2006
Murray St.,13.7,2006
N.C. State,32.2,2006
Navy,10.3,2006
Nebraska,28.0,2006
Nevada,24.8,2006
New Hampshire,13.7,2006
New Mexico,24.8,2006
New Mexico St.,27.8,2006
New Orleans,23.8,2006
Niagara,22.5,2006
Nicholls St.,15.9,2006
Norfolk St.,7.6,2006
North Carolina,35.8,2006
North Carolina A&T,7.9,2006
North Dakota St.,15.2,2006
North Florida,5.5,2006
North Texas,19.2,2006
Northeastern,22.7,2006
Northern Arizona,17.9,2006
Northern Colorado,19.8,2006
Northern Illinois,22.1,2006
Northern Iowa,31.4,2006
Northwestern,33.2,2006
Northwestern St.,19.7,2006
Notre Dame,33.8,2006
Oakland,16.0,2006
Ohio,22.2,2006
Ohio St.,32.2,2006
Oklahoma,31.3,2006
Oklahoma St.,31.9,2006
Old Dominion,25.2,2006
Oral Roberts,16.6,2006
Oregon,33.1,2006
Oregon St.,31.2,2006
Pacific,18.8,2006
Penn,14.1,2006
Penn St.,29.9,2006
Pepperdine,29.2,2006
Pittsburgh,33.9,2006
Portland,24.0,2006
Portland St.,21.9,2006
Prairie View A&M,6.7,2006
Princeton,15.1,2006
Providence,36.0,2006
Purdue,34.5,2006
Quinnipiac,11.4,2006
Radford,11.4,2006
Rhode Island,24.5,2006
Rice,22.3,2006
Richmond,22.4,2006
Rider,23.4,2006
Robert Morris,11.7,2006
Rutgers,32.3,2006
SMU,15.3,2006
Sacramento St.,21.1,2006
Sacred Heart,11.6,2006
Saint Joseph's,33.6,2006
