TEAM,YEAR,EXP,AVG HGT,EFF HGT,roster_size
Oregon St.,2003,1.357,77.7,81.0,14.0
Pacific,2003,1.4,77.2,81.5,10.0
Penn St.,2003,1.308,78.1,81.7,13.0
Pepperdine,2003,1.769,78.2,80.8,13.0
Portland,2003,0.933,75.7,79.0,15.0
Portland St.,2003,1.533,77.1,80.3,15.0
Prairie View A&M,2003,2.214,76.2,80.2,14.0
Princeton,2003,1.533,76.7,80.2,15.0
Providence,2003,1.833,78.3,80.6,12.0
Quinnipiac,2003,1.467,77.3,80.5,15.0
Radford,2003,0.833,77.5,80.2,12.0
Rhode Island,2003,1.071,76.6,79.3,14.0
Rice,2003,1.429,76.2,79.2,14.0
Richmond,2003,,,,
Rider,2003,,,,
Robert Morris,2003,,,,
Rutgers,2003,,,,
SMU,2003,,,,
Sacramento St.,2003,1.667,77.8,80.4,12.0
Sacred Heart,2003,1.429,76.9,80.7,14.0
Saint Louis,2003,2.091,77.0,80.4,11.0
Saint Mary's,2003,1.692,76.5,80.0,13.0
Saint Peter's,2003,1.538,76.5,80.0,13.0
Samford,2003,1.4,77.2,80.0,10.0
San Diego St.,2003,1.286,77.0,80.5,14.0
San Francisco,2003,2.083,76.4,79.4,12.0
San Jose St.,2003,1.667,75.2,78.3,15.0
Santa Clara,2003,1.385,76.8,79.3,13.0
Savannah St.,2003,1.077,73.3,76.7,13.0
Seton Hall,2003,1.467,76.7,80.2,15.0
Siena,2003,1.333,78.4,81.2,12.0
South Alabama,2003,,,,
South Carolina,2003,,,,
South Florida,2003,,,,
Southeast Missouri St.,2003,,,,
Southeastern Louisiana,2003,,,,
Southern,2003,,,,
Southern Miss,2003,,,,
Southern Utah,2003,,,,
Southwest Missouri St.,2003,,,,
Southwest Texas St.,2003,,,,
St. Bonaventure,2003,,,,
St. Francis NY,2003,,,,
St. Francis PA,2003,,,,
St. John's,2003,,,,
Stephen F. Austin,2003,,,,
Stetson,2003,,,,
Stony Brook,2003,,,,
TCU,2003,,,,
Temple,2003,,,,
Tennessee,2003,,,,
Tennessee Martin,2003,,,,
Tennessee St.,2003,,,,
Tennessee Tech,2003,,,,
Texas A&M,2003,,,,
Texas A&M Corpus Chris,2003,,,,
Texas Pan American,2003,,,,
Texas Tech,2003,,,,
The Citadel,2003,,,,
Toledo,2003,,,,
Towson,2003,,,,
Troy St.,2003,,,,
Tulane,2003,,,,
Tulsa,2003,,,,
UAB,2003,,,,
UC Irvine,2003,,,,
UC Riverside,2003,,,,
UC Santa Barbara,2003,,,,
UCF,2003,,,,
UCLA,2003,,,,
UMBC,2003,,,,
UMKC,2003,,,,
UNC Asheville,2003,,,,
UNC Greensboro,2003,,,,
UNC Wilmington,2003,,,,
UNLV,2003,,,,
USC,2003,,,,
UT Arlington,2003,,,,
UTEP,2003,,,,
UTSA,2003,,,,
Utah,2003,1.462,77.8,81.2,13.0
Utah St.,2003,1.769,75.5,79.0,13.0
VCU,2003,2.0,76.1,79.0,13.0
VMI,2003,1.133,77.1,80.0,15.0
Valparaiso,2003,2.0,78.1,82.0,11.0
Vanderbilt,2003,1.077,78.1,81.5,13.0
Vermont,2003,1.8,77.7,80.2,10.0
Villanova,2003,1.462,76.5,80.0,13.0
Virginia,2003,,,,
Virginia Tech,2003,,,,
Wagner,2003,,,,
Wake Forest,2003,,,,
Washington,2003,,,,
Washington St.,2003,,,,
Weber St.,2003,,,,
West Virginia,2003,,,,
Western Carolina,2003,,,,
Western Illinois,2003,,,,
Western Kentucky,2003,,,,
Western Michigan,2003,,,,
Wichita St.,2003,,,,
William & Mary,2003,,,,
Winthrop,2003,,,,
Wisconsin,2003,,,,
Wofford,2003,,,,
Wright St.,2003,,,,
Wyoming,2003,,,,
Xavier,2003,,,,
Yale,2003,,,,
Youngstown St.,2003,,,,
Air Force,2004,,,,
Alabama,2004,,,,
Alabama St.,2004,,,,
Arizona,2004,,,,
BYU,2004,,,,
Boston College,2004,,,,
Charlotte,2004,,,,
Cincinnati,2004,,,,
Connecticut,2004,,,,
Dayton,2004,,,,
DePaul,2004,,,,
Duke,2004,,,,
East Tennessee St.,2004,,,,
Eastern Washington,2004,,,,
Florida,2004,,,,
Florida A&M,2004,,,,
Georgia Tech,2004,,,,
Gonzaga,2004,,,,
Illinois,2004,,,,
Illinois Chicago,2004,,,,
Kansas,2004,,,,
Kentucky,2004,,,,
Lehigh,2004,,,,
Liberty,2004,,,,
Louisiana Lafayette,2004,,,,
Louisville,2004,,,,
Manhattan,2004,,,,
Maryland,2004,,,,
Memphis,2004,,,,
Michigan St.,2004,,,,
Mississippi St.,2004,,,,
Monmouth,2004,,,,
Murray St.,2004,,,,
N.C. State,2004,,,,
Nevada,2004,1.636,77.9,81.0,
North Carolina,2004,,,,
Northern Iowa,2004,,,,
Oklahoma St.,2004,,,,
Pacific,2004,,,,
Pittsburgh,2004,,,,
Princeton,2004,,,,
Providence,2004,,,,
Richmond,2004,,,,
Saint Joseph's,2004,,,,
Seton Hall,2004,,,,
South Carolina,2004,,,,
Southern Illinois,2004,,,,
Stanford,2004,,,,
Syracuse,2004,,,,
Texas,2004,,,,
Texas Tech,2004,,,,
UAB,2004,,,,
UCF,2004,,,,
UTEP,2004,,,,
UTSA,2004,,,,
Utah,2004,,,,
VCU,2004,,,,
Valparaiso,2004,,,,
Vanderbilt,2004,,,,
Vermont,2004,,,,
Wake Forest,2004,,,,
Washington,2004,,,,
